Date,URL
SUNDAY 16TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-10/titans-v-panthers/
THURSDAY 20TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/cowboys-v-knights/
FRIDAY 21ST MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/warriors-v-wests-tigers/
FRIDAY 21ST MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/sharks-v-dragons/
SATURDAY 22ND MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/titans-v-bulldogs/
SATURDAY 22ND MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/roosters-v-broncos/
SATURDAY 22ND MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/raiders-v-storm/
SUNDAY 23RD MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/rabbitohs-v-panthers/
SUNDAY 23RD MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-11/eels-v-sea-eagles/
THURSDAY 27TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/broncos-v-storm/
FRIDAY 28TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/cowboys-v-warriors/
FRIDAY 28TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/wests-tigers-v-dragons/
SATURDAY 29TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/panthers-v-bulldogs/
SATURDAY 29TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/rabbitohs-v-eels/
SATURDAY 29TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/roosters-v-raiders/
SUNDAY 30TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/sharks-v-titans/
SUNDAY 30TH MAY,https://www.nrl.com/draw/nrl-premiership/2021/round-12/knights-v-sea-eagles/
THURSDAY 3RD JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-13/dragons-v-broncos/
FRIDAY 4TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-13/wests-tigers-v-panthers/
SATURDAY 5TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-13/storm-v-titans/
SUNDAY 6TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-13/knights-v-eels/
FRIDAY 11TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/sea-eagles-v-cowboys/
FRIDAY 11TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/sharks-v-panthers/
SATURDAY 12TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/titans-v-roosters/
SATURDAY 12TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/rabbitohs-v-knights/
SATURDAY 12TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/raiders-v-broncos/
SUNDAY 13TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/warriors-v-storm/
SUNDAY 13TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/eels-v-wests-tigers/
MONDAY 14TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-14/bulldogs-v-dragons/
THURSDAY 17TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/broncos-v-rabbitohs/
FRIDAY 18TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/cowboys-v-sharks/
FRIDAY 18TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/panthers-v-roosters/
SATURDAY 19TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/knights-v-warriors/
SATURDAY 19TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/dragons-v-raiders/
SATURDAY 19TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/storm-v-wests-tigers/
SUNDAY 20TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/eels-v-bulldogs/
SUNDAY 20TH JUNE,https://www.nrl.com/draw/nrl-premiership/2021/round-15/titans-v-sea-eagles/
THURSDAY 1ST JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/roosters-v-storm/
FRIDAY 2ND JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/warriors-v-dragons/
FRIDAY 2ND JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/panthers-v-eels/
SATURDAY 3RD JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/bulldogs-v-sea-eagles/
SATURDAY 3RD JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/raiders-v-titans/
SATURDAY 3RD JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/knights-v-cowboys/
SUNDAY 4TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/broncos-v-sharks/
SUNDAY 4TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-16/wests-tigers-v-rabbitohs/
THURSDAY 8TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-17/sea-eagles-v-raiders/
FRIDAY 9TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-17/rabbitohs-v-cowboys/
SATURDAY 10TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-17/bulldogs-v-roosters/
SUNDAY 11TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-17/sharks-v-warriors/
FRIDAY 16TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/titans-v-eels/
FRIDAY 16TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/sea-eagles-v-dragons/
SATURDAY 17TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/raiders-v-sharks/
SATURDAY 17TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/cowboys-v-roosters/
SATURDAY 17TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/storm-v-knights/
SUNDAY 18TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/warriors-v-panthers/
SUNDAY 18TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/broncos-v-wests-tigers/
SUNDAY 18TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-18/rabbitohs-v-bulldogs/
THURSDAY 22ND JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/eels-v-raiders/
FRIDAY 23RD JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/roosters-v-knights/
FRIDAY 23RD JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/cowboys-v-storm/
SATURDAY 24TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/rabbitohs-v-warriors/
SATURDAY 24TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/sea-eagles-v-wests-tigers/
SATURDAY 24TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/panthers-v-broncos/
SUNDAY 25TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/dragons-v-titans/
SUNDAY 25TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-19/bulldogs-v-sharks/
THURSDAY 29TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-20/roosters-v-eels/
FRIDAY 30TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-20/wests-tigers-v-warriors/
FRIDAY 30TH JULY,https://www.nrl.com/draw/nrl-premiership/2021/round-20/broncos-v-cowboys/
SUNDAY 1ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-20/dragons-v-rabbitohs/
SUNDAY 1ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-20/knights-v-raiders/
SUNDAY 1ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-20/storm-v-panthers/
MONDAY 2ND AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-20/bulldogs-v-titans/
MONDAY 2ND AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-20/sharks-v-sea-eagles/
THURSDAY 5TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/knights-v-broncos/
FRIDAY 6TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/raiders-v-dragons/
FRIDAY 6TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/eels-v-rabbitohs/
SATURDAY 7TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/warriors-v-sharks/
SATURDAY 7TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/roosters-v-panthers/
SATURDAY 7TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/sea-eagles-v-storm/
SUNDAY 8TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/bulldogs-v-wests-tigers/
SUNDAY 8TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-21/titans-v-cowboys/
THURSDAY 12TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/storm-v-raiders/
FRIDAY 13TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/dragons-v-panthers/
FRIDAY 13TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/broncos-v-roosters/
SATURDAY 14TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/rabbitohs-v-titans/
SATURDAY 14TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/cowboys-v-wests-tigers/
SATURDAY 14TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/sea-eagles-v-eels/
SUNDAY 15TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/warriors-v-bulldogs/
SUNDAY 15TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-22/sharks-v-knights/
THURSDAY 19TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/titans-v-storm/
FRIDAY 20TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/raiders-v-sea-eagles/
FRIDAY 20TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/panthers-v-rabbitohs/
SATURDAY 21ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/wests-tigers-v-sharks/
SATURDAY 21ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/bulldogs-v-knights/
SATURDAY 21ST AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/eels-v-cowboys/
SUNDAY 22ND AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/dragons-v-roosters/
SUNDAY 22ND AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-23/broncos-v-warriors/
THURSDAY 26TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/knights-v-titans/
FRIDAY 27TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/warriors-v-raiders/
FRIDAY 27TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/roosters-v-rabbitohs/
SATURDAY 28TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/dragons-v-cowboys/
SATURDAY 28TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/sharks-v-broncos/
SATURDAY 28TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/storm-v-eels/
SUNDAY 29TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/sea-eagles-v-bulldogs/
SUNDAY 29TH AUGUST,https://www.nrl.com/draw/nrl-premiership/2021/round-24/panthers-v-wests-tigers/
THURSDAY 2ND SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/raiders-v-roosters/
FRIDAY 3RD SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/sharks-v-storm/
FRIDAY 3RD SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/eels-v-panthers/
SATURDAY 4TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/broncos-v-knights/
SATURDAY 4TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/cowboys-v-sea-eagles/
SATURDAY 4TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/rabbitohs-v-dragons/
SUNDAY 5TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/titans-v-warriors/
SUNDAY 5TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/round-25/wests-tigers-v-bulldogs/
FRIDAY 10TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/storm-v-sea-eagles/
SATURDAY 11TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/roosters-v-titans/
SATURDAY 11TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/panthers-v-rabbitohs/
SUNDAY 12TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-1/eels-v-knights/
FRIDAY 17TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-2/sea-eagles-v-roosters/
SATURDAY 18TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-2/panthers-v-eels/
FRIDAY 24TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-3/rabbitohs-v-sea-eagles/
SATURDAY 25TH SEPTEMBER,https://www.nrl.com/draw/nrl-premiership/2021/finals-week-3/storm-v-panthers/
SUNDAY 3RD OCTOBER,https://www.nrl.com/draw/nrl-premiership/2021/grand-final/panthers-v-rabbitohs/
THURSDAY 10TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/panthers-v-sea-eagles/
FRIDAY 11TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/raiders-v-sharks/
FRIDAY 11TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/broncos-v-rabbitohs/
SATURDAY 12TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/roosters-v-knights/
SATURDAY 12TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/warriors-v-dragons/
SATURDAY 12TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/wests-tigers-v-storm/
SUNDAY 13TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/eels-v-titans/
